ID,title,types,premium,lon,lat,metro_cat
58e187dc40c0886f708ba6c4,Салон-парикмахерская Солнце на улице Вавилова,beauty,False,37.543364,55.67859,"Профсоюзная,Новые Черёмушки"
59435277b9470f626066eff9,Студия красоты и маникюра BeautyME Lounge на улице Гарибальди,beauty,False,37.536131,55.676154,"Профсоюзная,Новые Черёмушки"
52c0244e40c0886b7c8bf158,Салон-парикмахерская Мариот Де Люкс на Ломоносовском проспекте,beauty,False,37.549795,55.684443,"Профсоюзная,Университет"
51c13d6fa0f3023c55000024,НФ студио,beauty,False,37.565471,55.669724,"Профсоюзная,Новые Черёмушки"
519305c0a0f302ca5200001e,Центр здоровья и красоты Астория Бьюти на Новочерёмушкинской улице,beauty,False,37.56628,55.670478,"Профсоюзная,Новые Черёмушки"
52c0245040c0886b7c8bf177,"Парикмахерская Сервис-Д на Нахимовском проспекте, 48",beauty,False,37.559987,55.680524,Профсоюзная
52c0267740c0886b7c8c1a25,Студия экспресс-маникюра Brunette & blonde,beauty,False,37.549932,55.682979,Профсоюзная
5744327a01f48805548b4567,Студия красоты Корица на Новочерёмушкинской улице,beauty,False,37.568542,55.672666,"Профсоюзная,Новые Черёмушки"
5825bb193853f794158b4567,Студия лазерной эпиляции Красотка на Профсоюзной улице,beauty,False,37.5667213,55.6808723,"Профсоюзная,Академическая"
58e187d440c0886f708ba676,Салон красоты на улице Кедрова,beauty,False,37.572678,55.683782,"Профсоюзная,Академическая"
55c8146b694122310d8b456c,Салон красоты Эстетик на улице Вавилова,beauty,False,37.546111,55.679417,"Профсоюзная,Новые Черёмушки"
51ce406ba0f302775b000003,Салон Виктория на Профсоюзной улице,beauty,False,37.568929,55.681549,"Профсоюзная,Академическая"
54750c1540c0885b208b4655,Салон Время Красоты на Ленинском проспекте,beauty,False,37.533979,55.678718,"Профсоюзная,Новые Черёмушки,Проспект Вернадского,Университет"
51b9852fa0f302fe2500000d,Салон Натали на Новочерёмушкинской улице,beauty,False,37.564733,55.669737,"Профсоюзная,Новые Черёмушки"
52c0242b40c0886b7c8beeef,"Парикмахерская Эльба-стром-м на улице Кржижановского, 3",beauty,False,37.561607,55.683252,"Профсоюзная,Академическая"
52c0230340c0886b7c8bdbb4,Парикмахерская Большой Черемушкинской улице,beauty,False,37.583972,55.680046,"Профсоюзная,Академическая"
51c00364a0f302576d000004,Мастер салон-студия на Профсоюзной улице,beauty,False,37.563122,55.680525,Профсоюзная
5965e23ec33cc57e98457b77,Массажный салон Василия Асланова на улице Ивана Бабушкина,beauty,False,37.562021,55.683945,"Профсоюзная,Академическая"
51fb2c5ea0f302f54e000024,Салон красоты Диля на метро Академическая,beauty,False,37.568617,55.684931,"Профсоюзная,Академическая"
5578afff40c08885048b67e7,Салон-парикмахерская Schwarzkopf на улице Кржижановского 17 к1,beauty,False,37.573366,55.679338,"Профсоюзная,Академическая"
57d6f17840c0882c298b4f1b,Студия красоты Art Nail,beauty,False,37.564653,55.686028,"Профсоюзная,Академическая"
57a9ca8c40c088e74d8b70d7,Салон красоты Алисия,beauty,False,37.555369,55.671684,"Профсоюзная,Новые Черёмушки"
59a7b36e01ed484f565741ce,Тату салон Unity ink tattoo на метро Университет,beauty,False,37.544263,55.682718,"Профсоюзная,Новые Черёмушки,Университет"
593a7141dc280c02ba042296,Just Beauty Studio,beauty,False,37.576852,55.664121,"Профсоюзная,Новые Черёмушки,Каховская,Нахимовский проспект,Севастопольская"
540f3a6740c088c8138b464c,Zone of beauty,beauty,False,37.572733280526,55.67752678077,Профсоюзная
58e187d640c0886f708ba68e,Парикмахерская на метро Новые Черёмушки,beauty,False,37.556625,55.671128,"Профсоюзная,Новые Черёмушки"
58e1882540c0886f708ba7c0,Студия маникюра и эпиляции Ноготки,beauty,False,37.532655,55.678096,"Профсоюзная,Новые Черёмушки,Проспект Вернадского,Университет"
58e185ed40c0886f708b9d2d,Учебно-оздоровительный центр,beauty,False,37.579331,55.66534,"Профсоюзная,Новые Черёмушки,Нагорная,Каховская,Нахимовский проспект,Севастопольская"
5578afff40c08885048b67ce,Студия красоты Здоровье,beauty,False,37.570046,55.683277,"Профсоюзная,Академическая"
58e1880f40c0886f708ba710,Ногтевая студия на метро Профсоюзная,beauty,False,37.562252,55.68419,"Профсоюзная,Академическая"
58e187d540c0886f708ba680,Спа-салон Тай,beauty,False,37.566702,55.68065,"Профсоюзная,Академическая"
57a9ca9140c088e74d8b7123,Парикмахерская на метро Профсоюзная,beauty,False,37.547545,55.681118,"Профсоюзная,Новые Черёмушки"
57a9ca6040c088e74d8b6c01,"Салон-парикмахерская на Новочерёмушкинской улице, 53 к 4",beauty,False,37.570994,55.670017,"Профсоюзная,Новые Черёмушки"
58e187d740c0886f708ba69c,Салон-парикмахерская Ножницы на улице Гарибальди,beauty,False,37.558452,55.669742,"Профсоюзная,Новые Черёмушки"
4f145ff0f89c60510c000d5f,Салон Эль Вудс на улице Плеханова,beauty,False,37.768257,55.739814,"Андроновка,Перово"
51764969a0f3025f6d000021,"Салон-парикмахерская Компания Морланд на Перовском шоссе, 18/1 ст2",beauty,False,37.752776,55.735602,"Андроновка,Нижегородская"
52c026a040c0886b7c8c1e23,Салон-студия красоты Красотка на улице Коновалова,beauty,False,37.763369,55.730307,"Андроновка,Нижегородская,Рязанский проспект"
51ef3559a0f3026952000045,Экспром,beauty,False,37.76863,55.739263,"Андроновка,Перово"
